"day","player_level_target","income_wood_per_hour","income_steel_per_hour","income_food_per_hour","income_energy_per_hour","energy_cap","energy_regen_per_min","pve_gold_reward_avg","pvp_points_reward_avg","daily_gem_faucet_target","daily_gem_sink_target","inflation_guardrail_ratio"
"1","2","520","470","550","65","124","1,01","280","20","29","36","0.90-1.10"
"2","3","580","523","610","69","128","1,02","307","22","30","37","0.90-1.10"
"3","4","646","581","676","73","132","1,02","336","23","31","38","0.90-1.10"
"4","6","721","646","750","77","136","1,03","368","25","32","40","0.90-1.10"
"5","7","804","719","832","82","140","1,04","403","27","32","41","0.90-1.10"
"6","8","896","799","923","87","144","1,05","441","29","33","42","0.90-1.10"
"7","10","999","889","1023","92","148","1,06","483","32","34","43","0.90-1.10"
"8","11","1114","988","1135","98","152","1,07","529","34","35","44","0.90-1.10"
"9","12","1242","1099","1258","104","156","1,08","579","37","36","45","0.90-1.10"
"10","14","1385","1222","1396","110","160","1,08","634","40","37","46","0.90-1.10"
"11","15","1544","1359","1548","116","164","1,09","694","43","38","48","0.90-1.10"
"12","16","1722","1511","1716","123","168","1,1","760","47","39","49","0.90-1.10"
"13","18","1920","1680","1903","131","172","1,11","832","50","40","50","0.90-1.10"
"14","19","2141","1868","2111","139","176","1,12","911","54","41","51","0.90-1.10"
"15","21","2387","2078","2341","147","180","1,12","998","59","42","52","0.90-1.10"
"16","22","2661","2310","2596","156","184","1,13","1092","63","42","53","0.90-1.10"
"17","24","2968","2569","2879","165","188","1,14","1196","69","43","55","0.90-1.10"
"18","25","3309","2857","3193","175","192","1,15","1310","74","44","56","0.90-1.10"
"19","27","3689","3177","3541","186","196","1,16","1434","80","45","57","0.90-1.10"
"20","28","4114","3533","3927","197","200","1,17","1570","86","46","58","0.90-1.10"
"21","29","4587","3928","4355","208","204","1,18","1720","93","47","59","0.90-1.10"
"22","31","5114","4368","4830","221","208","1,18","1883","101","48","60","0.90-1.10"
"23","32","5702","4857","5356","234","212","1,19","2062","109","49","61","0.90-1.10"
"24","34","6358","5401","5940","248","216","1,2","2258","117","50","63","0.90-1.10"
"25","35","7089","6006","6587","263","220","1,21","2472","127","50","64","0.90-1.10"
"26","37","7905","6679","7306","279","224","1,22","2707","137","51","65","0.90-1.10"
"27","39","8814","7427","8102","296","228","1,23","2964","148","52","66","0.90-1.10"
"28","40","9827","8259","8985","313","232","1,23","3246","160","53","67","0.90-1.10"
"29","42","10957","9184","9964","332","236","1,24","3554","173","54","68","0.90-1.10"
"30","43","12217","10213","11050","352","240","1,25","3892","186","55","70","0.90-1.10"
